observation_id,photo_id,photo_url,photo_url_large,latitude,longitude,place_guess,observed_on,quality_grade,user_login,taxon_name,common_name,local_path,download_status,abdomen_color,spine_color,segmented_image_path,processing_status
369358253,674678369,https://static.inaturalist.org/photos/674678369/medium.jpg,https://static.inaturalist.org/photos/674678369/large.jpg,27.9378281972,-82.6184042493,"Florida, US",2026-06-07,research,keepingtheblade,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369358253_photo674678369.png,ok,white,black,data/segmented/obs369358253_photo674678369_segmented.png,ok
369341601,674647769,https://inaturalist-open-data.s3.amazonaws.com/photos/674647769/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674647769/large.jpg,-23.778085,-53.187465,"6RF7+Q5 - Lovat, Umuarama - PR, Brasil",2025-04-28,research,willardbasilio,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369341601_photo674647769.png,ok,white,black,data/segmented/obs369341601_photo674647769_segmented.png,ok
369329219,674624607,https://inaturalist-open-data.s3.amazonaws.com/photos/674624607/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674624607/large.jpg,28.4988010359,-80.9407536882,"Swamp Spur Trail, Christmas, FL, US",2026-06-07,research,chwillbill68,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369329219_photo674624607.png,ok,white,red,data/segmented/obs369329219_photo674624607_segmented.png,ok
369320269,674607651,https://inaturalist-open-data.s3.amazonaws.com/photos/674607651/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674607651/large.jpg,30.1204975837,-91.8389478641,"Louisiana, US",2026-06-06,research,joshuar828,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369320269_photo674607651.png,ok,white,black,data/segmented/obs369320269_photo674607651_segmented.png,ok
369307565,674583577,https://inaturalist-open-data.s3.amazonaws.com/photos/674583577/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674583577/large.jpg,27.7011083333,-80.3977638889,"Vero Beach, FL 32967, USA",2026-03-11,research,pisaunt,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369307565_photo674583577.png,ok,blue,black,data/segmented/obs369307565_photo674583577_segmented.png,ok
369222487,674384760,https://inaturalist-open-data.s3.amazonaws.com/photos/674384760/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674384760/large.jpg,28.258438,-82.1132249722,"Florida, Pasco, Zephyrhills, 42444 County Road 54, Upper Hillsborough Wildlife Management Aea",2026-06-06,research,billpranty,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369222487_photo674384760.png,ok,orange,red,data/segmented/obs369222487_photo674384760_segmented.png,ok
369209960,674400791,https://inaturalist-open-data.s3.amazonaws.com/photos/674400791/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674400791/large.jpg,32.8522204826,-79.9140921833,"Charleston County, US-SC, US",2026-06-06,research,l000bugs,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369209960_photo674400791.png,ok,white,black,data/segmented/obs369209960_photo674400791_segmented.png,ok
369206861,674395106,https://inaturalist-open-data.s3.amazonaws.com/photos/674395106/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674395106/large.jpg,26.3117583333,-80.1589666667,"S Powerline Rd, Deerfield Beach, FL, US",2020-11-27,research,ezyy,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369206861_photo674395106.png,ok,white,red,data/segmented/obs369206861_photo674395106_segmented.png,ok
369198973,674379167,https://inaturalist-open-data.s3.amazonaws.com/photos/674379167/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674379167/large.jpg,30.4223844943,-90.4262778785,"Weinberger Rd, Ponchatoula, LA, US",2026-06-06,research,freerangehippie,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369198973_photo674379167.png,ok,white,black,data/segmented/obs369198973_photo674379167_segmented.png,ok
369194562,674365735,https://inaturalist-open-data.s3.amazonaws.com/photos/674365735/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674365735/large.jpg,26.498768069,-80.2137623166,"Palm Beach County, FL, USA",2026-06-06,research,beach2022,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369194562_photo674365735.png,ok,white,red,data/segmented/obs369194562_photo674365735_segmented.png,ok
369157526,674300716,https://inaturalist-open-data.s3.amazonaws.com/photos/674300716/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674300716/large.jpg,26.0028057098,-80.2711029053,Pembroke Pines,2026-06-06,research,oskarbracho,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369157526_photo674300716.png,ok,orange,black,data/segmented/obs369157526_photo674300716_segmented.png,ok
369155173,674295523,https://inaturalist-open-data.s3.amazonaws.com/photos/674295523/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674295523/large.jpg,35.2001703361,-81.1561404763,"North Carolina, US",2026-06-06,research,battyaf,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369155173_photo674295523.png,ok,white,red,data/segmented/obs369155173_photo674295523_segmented.png,ok
369143664,674272988,https://inaturalist-open-data.s3.amazonaws.com/photos/674272988/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674272988/large.jpg,27.8670825958,-82.8017196655,Largo,2026-06-06,research,mtanguay,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369143664_photo674272988.png,ok,red,red,data/segmented/obs369143664_photo674272988_segmented.png,ok
369139854,674265002,https://inaturalist-open-data.s3.amazonaws.com/photos/674265002/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674265002/large.jpg,32.5134271,-94.8058999,"Longview, TX 75604, USA",2026-06-06,research,root_rotted,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369139854_photo674265002.png,ok,white,red,data/segmented/obs369139854_photo674265002_segmented.png,ok
369139297,674253770,https://inaturalist-open-data.s3.amazonaws.com/photos/674253770/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674253770/large.jpg,30.3838498575,-97.025804383,"5365 CR 326, Lexington, Lee Co, TX, USA",2026-06-06,research,connlindajo,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369139297_photo674253770.png,ok,white,red,data/segmented/obs369139297_photo674253770_segmented.png,ok
369114569,674215176,https://inaturalist-open-data.s3.amazonaws.com/photos/674215176/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674215176/large.jpg,-23.5442375,-46.6669707,"Praça Charles Miller, 80 - Pacaembu, São Paulo - SP, 01234-010, Brasil",2026-06-06,research,patriciajardim,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369114569_photo674215176.png,ok,yellow,red,data/segmented/obs369114569_photo674215176_segmented.png,ok
369086483,674160825,https://inaturalist-open-data.s3.amazonaws.com/photos/674160825/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674160825/large.jpg,28.9738966667,-80.9132616667,"Queen Palm Dr, Edgewater, FL, US",2018-08-10,research,fiona2131,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369086483_photo674160825.png,ok,white,black,data/segmented/obs369086483_photo674160825_segmented.png,ok
369082415,674153373,https://static.inaturalist.org/photos/674153373/medium.jpg,https://static.inaturalist.org/photos/674153373/large.jpg,5.4084178744,-54.0775562078,"CW5C+RW2, Saint-Laurent-du-Maroni 97320, Guyane française",2017-06-19,research,clotildebonduel,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369082415_photo674153373.png,ok,black,red,data/segmented/obs369082415_photo674153373_segmented.png,ok
369077800,674144235,https://inaturalist-open-data.s3.amazonaws.com/photos/674144235/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674144235/large.jpg,29.7641883333,-95.624405,"Eldridge Pkwy, Houston, TX, US",2026-06-06,research,sierra47567,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369077800_photo674144235.png,ok,white,black,data/segmented/obs369077800_photo674144235_segmented.png,ok
369050710,674037576,https://inaturalist-open-data.s3.amazonaws.com/photos/674037576/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/674037576/large.jpg,-4.036005,-38.6459083333,"Guaiúba - CE, Brasil",2026-06-04,research,celiomoura,Gasteracantha cancriformis,Spinybacked Orbweaver,data/observations/obs369050710_photo674037576.png,ok,white,black,data/segmented/obs369050710_photo674037576_segmented.png,ok
